,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
364,3,28.0,1,0,15.5,0,1,0,1,0
753,3,23.0,0,0,7.8958,0,1,0,0,1
628,3,26.0,0,0,7.8958,0,1,0,0,1
573,3,28.0,0,0,7.75,1,0,0,1,0
638,3,41.0,0,5,39.6875,1,0,0,0,1
292,2,36.0,0,0,12.875,0,1,1,0,0
608,2,22.0,1,2,41.5792,1,0,1,0,0
121,3,28.0,0,0,8.05,0,1,0,0,1
315,3,26.0,0,0,7.8542,1,0,0,0,1
498,1,25.0,1,2,151.55,1,0,0,0,1
534,3,30.0,0,0,8.6625,1,0,0,0,1
857,1,51.0,0,0,26.55,0,1,0,0,1
94,3,59.0,0,0,7.25,0,1,0,0,1
177,1,50.0,0,0,28.7125,1,0,1,0,0
475,1,28.0,0,0,52.0,0,1,0,0,1
435,1,14.0,1,2,120.0,1,0,0,0,1
626,2,57.0,0,0,12.35,0,1,0,1,0
712,1,48.0,1,0,52.0,0,1,0,0,1
449,1,52.0,0,0,30.5,0,1,0,0,1
888,3,28.0,1,2,23.45,1,0,0,0,1
162,3,26.0,0,0,7.775,0,1,0,0,1
64,1,28.0,0,0,27.7208,0,1,1,0,0
2,3,26.0,0,0,7.925,1,0,0,0,1
841,2,16.0,0,0,10.5,0,1,0,0,1
108,3,38.0,0,0,7.8958,0,1,0,0,1
156,3,16.0,0,0,7.7333,1,0,0,1,0
375,1,28.0,1,0,82.1708,1,0,1,0,0
420,3,28.0,0,0,7.8958,0,1,1,0,0
110,1,47.0,0,0,52.0,0,1,0,0,1
854,2,44.0,1,0,26.0,1,0,0,0,1
211,2,35.0,0,0,21.0,1,0,0,0,1
21,2,34.0,0,0,13.0,0,1,0,0,1
93,3,26.0,1,2,20.575,0,1,0,0,1
869,3,4.0,1,1,11.1333,0,1,0,0,1
95,3,28.0,0,0,8.05,0,1,0,0,1
829,1,62.0,0,0,80.0,1,0,0,0,0
472,2,33.0,1,2,27.75,1,0,0,0,1
790,3,28.0,0,0,7.75,0,1,0,1,0
415,3,28.0,0,0,8.05,1,0,0,0,1
147,3,9.0,2,2,34.375,1,0,0,0,1
736,3,48.0,1,3,34.375,1,0,0,0,1
619,2,26.0,0,0,10.5,0,1,0,0,1
490,3,28.0,1,0,19.9667,0,1,0,0,1
782,1,29.0,0,0,30.0,0,1,0,0,1
710,1,24.0,0,0,49.5042,1,0,1,0,0
655,2,24.0,2,0,73.5,0,1,0,0,1
618,2,4.0,2,1,39.0,1,0,0,0,1
591,1,52.0,1,0,78.2667,1,0,1,0,0
270,1,28.0,0,0,31.0,0,1,0,0,1
369,1,24.0,0,0,69.3,1,0,1,0,0
601,3,28.0,0,0,7.8958,0,1,0,0,1
616,3,34.0,1,1,14.4,0,1,0,0,1
833,3,23.0,0,0,7.8542,0,1,0,0,1
29,3,28.0,0,0,7.8958,0,1,0,0,1
560,3,28.0,0,0,7.75,0,1,0,1,0
322,2,30.0,0,0,12.35,1,0,0,1,0
778,3,28.0,0,0,7.7375,0,1,0,1,0
70,2,32.0,0,0,10.5,0,1,0,0,1
216,3,27.0,0,0,7.925,1,0,0,0,1
564,3,28.0,0,0,8.05,1,0,0,0,1
217,2,42.0,1,0,27.0,0,1,0,0,1
34,1,28.0,1,0,82.1708,0,1,1,0,0
106,3,21.0,0,0,7.65,1,0,0,0,1
165,3,9.0,0,2,20.525,0,1,0,0,1
557,1,28.0,0,0,227.525,0,1,1,0,0
728,2,25.0,1,0,26.0,0,1,0,0,1
467,1,56.0,0,0,26.55,0,1,0,0,1
825,3,28.0,0,0,6.95,0,1,0,1,0
540,1,36.0,0,2,71.0,1,0,0,0,1
645,1,48.0,1,0,76.7292,0,1,1,0,0
821,3,27.0,0,0,8.6625,0,1,0,0,1
513,1,54.0,1,0,59.4,1,0,1,0,0
230,1,35.0,1,0,83.475,1,0,0,0,1
669,1,28.0,1,0,52.0,1,0,0,0,1
800,2,34.0,0,0,13.0,0,1,0,0,1
740,1,28.0,0,0,30.0,0,1,0,0,1
271,3,25.0,0,0,0.0,0,1,0,0,1
687,3,19.0,0,0,10.1708,0,1,0,0,1
708,1,22.0,0,0,151.55,1,0,0,0,1
214,3,28.0,1,0,7.75,0,1,0,1,0
871,1,47.0,1,1,52.5542,1,0,0,0,1
45,3,28.0,0,0,8.05,0,1,0,0,1
858,3,24.0,0,3,19.2583,1,0,1,0,0
339,1,45.0,0,0,35.5,0,1,0,0,1
563,3,28.0,0,0,8.05,0,1,0,0,1
735,3,28.5,0,0,16.1,0,1,0,0,1
153,3,40.5,0,2,14.5,0,1,0,0,1
818,3,43.0,0,0,6.45,0,1,0,0,1
652,3,21.0,0,0,8.4333,0,1,0,0,1
298,1,28.0,0,0,30.5,0,1,0,0,1
400,3,39.0,0,0,7.925,0,1,0,0,1
583,1,36.0,0,0,40.125,0,1,1,0,0
805,3,31.0,0,0,7.775,0,1,0,0,1
362,3,45.0,0,1,14.4542,1,0,1,0,0
62,1,45.0,1,0,83.475,0,1,0,0,1
384,3,28.0,0,0,7.8958,0,1,0,0,1
882,3,22.0,0,0,10.5167,1,0,0,0,1
631,3,51.0,0,0,7.0542,0,1,0,0,1
47,3,28.0,0,0,7.75,1,0,0,1,0
383,1,35.0,1,0,52.0,1,0,0,0,1
705,2,39.0,0,0,26.0,0,1,0,0,1
80,3,22.0,0,0,9.0,0,1,0,0,1
458,2,50.0,0,0,10.5,1,0,0,0,1
268,1,58.0,0,1,153.4625,1,0,0,0,1
287,3,22.0,0,0,7.8958,0,1,0,0,1
611,3,28.0,0,0,7.05,0,1,0,0,1
207,3,26.0,0,0,18.7875,0,1,1,0,0
826,3,28.0,0,0,56.4958,0,1,0,0,1
136,1,19.0,0,2,26.2833,1,0,0,0,1
170,1,61.0,0,0,33.5,0,1,0,0,1
459,3,28.0,0,0,7.75,0,1,0,1,0
262,1,52.0,1,1,79.65,0,1,0,0,1
827,2,1.0,0,2,37.0042,0,1,1,0,0
312,2,26.0,1,1,26.0,1,0,0,0,1
200,3,28.0,0,0,9.5,0,1,0,0,1
129,3,45.0,0,0,6.975,0,1,0,0,1
356,1,22.0,0,1,55.0,1,0,0,0,1
274,3,28.0,0,0,7.75,1,0,0,1,0
88,1,23.0,3,2,263.0,1,0,0,0,1
763,1,36.0,1,2,120.0,1,0,0,0,1
28,3,28.0,0,0,7.8792,1,0,0,1,0
19,3,28.0,0,0,7.225,1,0,1,0,0
404,3,20.0,0,0,8.6625,1,0,0,0,1
421,3,21.0,0,0,7.7333,0,1,0,1,0
783,3,28.0,1,2,23.45,0,1,0,0,1
314,2,43.0,1,1,26.25,0,1,0,0,1
389,2,17.0,0,0,12.0,1,0,1,0,0
789,1,46.0,0,0,79.2,0,1,1,0,0
112,3,22.0,0,0,8.05,0,1,0,0,1
333,3,16.0,2,0,18.0,0,1,0,0,1
82,3,28.0,0,0,7.7875,1,0,0,1,0
329,1,16.0,0,1,57.9792,1,0,1,0,0
886,2,27.0,0,0,13.0,0,1,0,0,1
326,3,61.0,0,0,6.2375,0,1,0,0,1
363,3,35.0,0,0,7.05,0,1,0,0,1
8,3,27.0,0,2,11.1333,1,0,0,0,1
92,1,46.0,1,0,61.175,0,1,0,0,1
889,1,26.0,0,0,30.0,0,1,1,0,0
155,1,51.0,0,1,61.3792,0,1,1,0,0
50,3,7.0,4,1,39.6875,0,1,0,0,1
299,1,50.0,0,1,247.5208,1,0,1,0,0
111,3,14.5,1,0,14.4542,1,0,1,0,0
203,3,45.5,0,0,7.225,0,1,1,0,0
851,3,74.0,0,0,7.775,0,1,0,0,1
90,3,29.0,0,0,8.05,0,1,0,0,1
86,3,16.0,1,3,34.375,0,1,0,0,1
629,3,28.0,0,0,7.7333,0,1,0,1,0
604,1,35.0,0,0,26.55,0,1,1,0,0
251,3,29.0,1,1,10.4625,1,0,0,0,1
724,1,27.0,1,0,53.1,0,1,0,0,1
872,1,33.0,0,0,5.0,0,1,0,0,1
699,3,42.0,0,0,7.65,0,1,0,0,1
282,3,16.0,0,0,9.5,0,1,0,0,1
331,1,45.5,0,0,28.5,0,1,0,0,1
887,1,19.0,0,0,30.0,1,0,0,0,1
197,3,42.0,0,1,8.4042,0,1,0,0,1
238,2,19.0,0,0,10.5,0,1,0,0,1
209,1,40.0,0,0,31.0,0,1,1,0,0
814,3,30.5,0,0,8.05,0,1,0,0,1
184,3,4.0,0,2,22.025,1,0,0,0,1
719,3,33.0,0,0,7.775,0,1,0,0,1
587,1,60.0,1,1,79.2,0,1,1,0,0
87,3,28.0,0,0,8.05,0,1,0,0,1
120,2,21.0,2,0,73.5,0,1,0,0,1
702,3,18.0,0,1,14.4542,1,0,1,0,0
579,3,32.0,0,0,7.925,0,1,0,0,1
190,2,32.0,0,0,13.0,1,0,0,0,1
91,3,20.0,0,0,7.8542,0,1,0,0,1
380,1,42.0,0,0,227.525,1,0,1,0,0
627,1,21.0,0,0,77.9583,1,0,0,0,1
468,3,28.0,0,0,7.725,0,1,0,1,0
330,3,28.0,2,0,23.25,1,0,0,1,0
760,3,28.0,0,0,14.5,0,1,0,0,1
804,3,27.0,0,0,6.975,0,1,0,0,1
632,1,32.0,0,0,30.5,0,1,1,0,0
845,3,42.0,0,0,7.55,0,1,0,0,1
263,1,40.0,0,0,0.0,0,1,0,0,1
33,2,66.0,0,0,10.5,0,1,0,0,1
820,1,52.0,1,1,93.5,1,0,0,0,1
297,1,2.0,1,2,151.55,1,0,0,0,1
486,1,35.0,1,0,90.0,1,0,0,0,1
634,3,9.0,3,2,27.9,1,0,0,0,1
584,3,28.0,0,0,8.7125,0,1,1,0,0
595,3,36.0,1,1,24.15,0,1,0,0,1
357,2,38.0,0,0,13.0,1,0,0,0,1
639,3,28.0,1,0,16.1,0,1,0,0,1
510,3,29.0,0,0,7.75,0,1,0,1,0
744,3,31.0,0,0,7.925,0,1,0,0,1
154,3,28.0,0,0,7.3125,0,1,0,0,1
885,3,39.0,0,5,29.125,1,0,0,1,0
621,1,42.0,1,0,52.5542,0,1,0,0,1
464,3,28.0,0,0,8.05,0,1,0,0,1
696,3,44.0,0,0,8.05,0,1,0,0,1
558,1,39.0,1,1,79.65,1,0,0,0,1
880,2,25.0,0,1,26.0,1,0,0,0,1
650,3,28.0,0,0,7.8958,0,1,0,0,1
283,3,19.0,0,0,8.05,0,1,0,0,1
521,3,22.0,0,0,7.8958,0,1,0,0,1
347,3,28.0,1,0,16.1,1,0,0,0,1
499,3,24.0,0,0,7.7958,0,1,0,0,1
586,2,47.0,0,0,15.0,0,1,0,0,1
328,3,31.0,1,1,20.525,1,0,0,0,1
664,3,20.0,1,0,7.925,0,1,0,0,1
123,2,32.5,0,0,13.0,1,0,0,0,1
623,3,21.0,0,0,7.8542,0,1,0,0,1
174,1,56.0,0,0,30.6958,0,1,1,0,0
817,2,31.0,1,1,37.0042,0,1,1,0,0
24,3,8.0,3,1,21.075,1,0,0,0,1
788,3,1.0,1,2,20.575,0,1,0,0,1
52,1,49.0,1,0,76.7292,1,0,1,0,0
675,3,18.0,0,0,7.775,0,1,0,0,1
89,3,24.0,0,0,8.05,0,1,0,0,1
187,1,45.0,0,0,26.55,0,1,0,0,1
451,3,28.0,1,0,19.9667,0,1,0,0,1
730,1,29.0,0,0,211.3375,1,0,0,0,1
538,3,28.0,0,0,14.5,0,1,0,0,1
775,3,18.0,0,0,7.75,0,1,0,0,1
722,2,34.0,0,0,13.0,0,1,0,0,1
569,3,32.0,0,0,7.8542,0,1,0,0,1
764,3,16.0,0,0,7.775,0,1,0,0,1
206,3,32.0,1,0,15.85,0,1,0,0,1
367,3,28.0,0,0,7.2292,1,0,1,0,0
883,2,28.0,0,0,10.5,0,1,0,0,1
188,3,40.0,1,1,15.5,0,1,0,1,0
580,2,25.0,1,1,30.0,1,0,0,0,1
553,3,22.0,0,0,7.225,0,1,1,0,0
413,2,28.0,0,0,0.0,0,1,0,0,1
290,1,26.0,0,0,78.85,1,0,0,0,1
551,2,27.0,0,0,26.0,0,1,0,0,1
739,3,28.0,0,0,7.8958,0,1,0,0,1
832,3,28.0,0,0,7.2292,0,1,1,0,0
680,3,28.0,0,0,8.1375,1,0,0,1,0
346,2,40.0,0,0,13.0,1,0,0,0,1
779,1,43.0,0,1,211.3375,1,0,0,0,1
143,3,19.0,0,0,6.75,0,1,0,1,0
567,3,29.0,0,4,21.075,1,0,0,0,1
504,1,16.0,0,0,86.5,1,0,0,0,1
463,2,48.0,0,0,13.0,0,1,0,0,1
874,2,28.0,1,0,24.0,1,0,1,0,0
141,3,22.0,0,0,7.75,1,0,0,0,1
273,1,37.0,0,1,29.7,0,1,1,0,0
848,2,28.0,0,1,33.0,0,1,0,0,1
692,3,28.0,0,0,56.4958,0,1,0,0,1
55,1,28.0,0,0,35.5,0,1,0,0,1
715,3,19.0,0,0,7.65,0,1,0,0,1
803,3,0.42,0,1,8.5167,0,1,1,0,0
784,3,25.0,0,0,7.05,0,1,0,0,1
53,2,29.0,1,0,26.0,1,0,0,0,1
659,1,58.0,0,2,113.275,0,1,1,0,0
348,3,3.0,1,1,15.9,0,1,0,0,1
284,1,28.0,0,0,26.0,0,1,0,0,1
61,1,38.0,0,0,80.0,1,0,0,0,0
662,1,47.0,0,0,25.5875,0,1,0,0,1
159,3,28.0,8,2,69.55,0,1,0,0,1
11,1,58.0,0,0,26.55,1,0,0,0,1
476,2,34.0,1,0,21.0,0,1,0,0,1
545,1,64.0,0,0,26.0,0,1,0,0,1
810,3,26.0,0,0,7.8875,0,1,0,0,1
726,2,30.0,3,0,21.0,1,0,0,0,1
252,1,62.0,0,0,26.55,0,1,0,0,1
239,2,33.0,0,0,12.275,0,1,0,0,1
426,2,28.0,1,0,26.0,1,0,0,0,1
600,2,24.0,2,1,27.0,1,0,0,0,1
101,3,28.0,0,0,7.8958,0,1,0,0,1
606,3,30.0,0,0,7.8958,0,1,0,0,1
769,3,32.0,0,0,8.3625,0,1,0,0,1
512,1,36.0,0,0,26.2875,0,1,0,0,1
345,2,24.0,0,0,13.0,1,0,0,0,1
42,3,28.0,0,0,7.8958,0,1,1,0,0
295,1,28.0,0,0,27.7208,0,1,1,0,0
401,3,26.0,0,0,8.05,0,1,0,0,1
114,3,17.0,0,0,14.4583,1,0,1,0,0
161,2,40.0,0,0,15.75,1,0,0,0,1
183,2,1.0,2,1,39.0,0,1,0,0,1
875,3,15.0,0,0,7.225,1,0,1,0,0
43,2,3.0,1,2,41.5792,1,0,1,0,0
642,3,2.0,3,2,27.9,1,0,0,0,1
192,3,19.0,1,0,7.8542,1,0,0,0,1
225,3,22.0,0,0,9.35,0,1,0,0,1
668,3,43.0,0,0,8.05,0,1,0,0,1
570,2,62.0,0,0,10.5,0,1,0,0,1
457,1,28.0,1,0,51.8625,1,0,0,0,1
447,1,34.0,0,0,26.55,0,1,0,0,1
16,3,2.0,4,1,29.125,0,1,0,1,0
809,1,33.0,1,0,53.1,1,0,0,0,1
796,1,49.0,0,0,25.9292,1,0,0,0,1
480,3,9.0,5,2,46.9,0,1,0,0,1
394,3,24.0,0,2,16.7,1,0,0,0,1
341,1,24.0,3,2,263.0,1,0,0,0,1
477,3,29.0,1,0,7.0458,0,1,0,0,1
133,2,29.0,1,0,26.0,1,0,0,0,1
879,1,56.0,0,1,83.1583,1,0,1,0,0
813,3,6.0,4,2,31.275,1,0,0,0,1
522,3,28.0,0,0,7.225,0,1,1,0,0
700,1,18.0,1,0,227.525,1,0,1,0,0
332,1,38.0,0,1,153.4625,0,1,0,0,1
59,3,11.0,5,2,46.9,0,1,0,0,1
525,3,40.5,0,0,7.75,0,1,0,1,0
830,3,15.0,1,0,14.4542,1,0,1,0,0
118,1,24.0,0,1,247.5208,0,1,1,0,0
695,2,52.0,0,0,13.5,0,1,0,0,1
6,1,54.0,0,0,51.8625,0,1,0,0,1
599,1,49.0,1,0,56.9292,0,1,1,0,0
374,3,3.0,3,1,21.075,1,0,0,0,1
737,1,35.0,0,0,512.3292,0,1,1,0,0
65,3,28.0,1,1,15.2458,0,1,1,0,0
79,3,30.0,0,0,12.475,1,0,0,0,1
881,3,33.0,0,0,7.8958,0,1,0,0,1
264,3,28.0,0,0,7.75,1,0,0,1,0
823,3,27.0,0,1,12.475,1,0,0,0,1
734,2,23.0,0,0,13.0,0,1,0,0,1
144,2,18.0,0,0,11.5,0,1,0,0,1
751,3,6.0,0,1,12.475,0,1,0,0,1
614,3,35.0,0,0,8.05,0,1,0,0,1
774,2,54.0,1,3,23.0,1,0,0,0,1
63,3,4.0,3,2,27.9,0,1,0,0,1
543,2,32.0,1,0,26.0,0,1,0,0,1
526,2,50.0,0,0,10.5,1,0,0,0,1
181,2,28.0,0,0,15.05,0,1,1,0,0
407,2,3.0,1,1,18.75,0,1,0,0,1
798,3,30.0,0,0,7.2292,0,1,1,0,0
189,3,36.0,0,0,7.8958,0,1,0,0,1
359,3,28.0,0,0,7.8792,1,0,0,1,0
288,2,42.0,0,0,13.0,0,1,0,0,1
325,1,36.0,0,0,135.6333,1,0,1,0,0
565,3,24.0,2,0,24.15,0,1,0,0,1
866,2,27.0,1,0,13.8583,1,0,1,0,0
124,1,54.0,0,1,77.2875,0,1,0,0,1
500,3,17.0,0,0,8.6625,0,1,0,0,1
245,1,44.0,2,0,90.0,0,1,0,1,0
30,1,40.0,0,0,27.7208,0,1,1,0,0
613,3,28.0,0,0,7.75,0,1,0,1,0
182,3,9.0,4,2,31.3875,0,1,0,0,1
454,3,28.0,0,0,8.05,0,1,0,0,1
615,2,24.0,1,2,65.0,1,0,0,0,1
549,2,8.0,1,1,36.75,0,1,0,0,1
387,2,36.0,0,0,13.0,1,0,0,0,1
376,3,22.0,0,0,7.25,1,0,0,0,1
723,2,50.0,0,0,13.0,0,1,0,0,1
408,3,21.0,0,0,7.775,0,1,0,0,1
148,2,36.5,0,2,26.0,0,1,0,0,1
508,3,28.0,0,0,22.525,0,1,0,0,1
442,3,25.0,1,0,7.775,0,1,0,0,1
519,3,32.0,0,0,7.8958,0,1,0,0,1
236,2,44.0,1,0,26.0,0,1,0,0,1
119,3,2.0,4,2,31.275,1,0,0,0,1
125,3,12.0,1,0,11.2417,0,1,1,0,0
240,3,28.0,1,0,14.4542,1,0,1,0,0
398,2,23.0,0,0,10.5,0,1,0,0,1
438,1,64.0,1,4,263.0,0,1,0,0,1
306,1,28.0,0,0,110.8833,1,0,1,0,0
683,3,14.0,5,2,46.9,0,1,0,0,1
135,2,23.0,0,0,15.0458,0,1,1,0,0
0,3,22.0,1,0,7.25,0,1,0,0,1
175,3,18.0,1,1,7.8542,0,1,0,0,1
278,3,7.0,4,1,29.125,0,1,0,1,0
863,3,28.0,8,2,69.55,1,0,0,0,1
371,3,18.0,1,0,6.4958,0,1,0,0,1
535,2,7.0,0,2,26.25,1,0,0,0,1
505,1,18.0,1,0,108.9,0,1,1,0,0
300,3,28.0,0,0,7.75,1,0,0,1,0
873,3,47.0,0,0,9.0,0,1,0,0,1
637,2,31.0,1,1,26.25,0,1,0,0,1
846,3,28.0,8,2,69.55,0,1,0,0,1
890,3,32.0,0,0,7.75,0,1,0,1,0
562,2,28.0,0,0,13.5,0,1,0,0,1
786,3,18.0,0,0,7.4958,1,0,0,0,1
625,1,61.0,0,0,32.3208,0,1,0,0,1
201,3,28.0,8,2,69.55,0,1,0,0,1
690,1,31.0,1,0,57.0,0,1,0,0,1
654,3,18.0,0,0,6.75,1,0,0,1,0
422,3,29.0,0,0,7.875,0,1,0,0,1
202,3,34.0,0,0,6.4958,0,1,0,0,1
178,2,30.0,0,0,13.0,0,1,0,0,1
48,3,28.0,2,0,21.6792,0,1,1,0,0
568,3,28.0,0,0,7.2292,0,1,1,0,0
337,1,41.0,0,0,134.5,1,0,1,0,0
419,3,10.0,0,2,24.15,1,0,0,0,1
656,3,28.0,0,0,7.8958,0,1,0,0,1
572,1,36.0,0,0,26.3875,0,1,0,0,1
511,3,28.0,0,0,8.05,0,1,0,0,1
294,3,24.0,0,0,7.8958,0,1,0,0,1
745,1,70.0,1,1,71.0,0,1,0,0,1
840,3,20.0,0,0,7.925,0,1,0,0,1
15,2,55.0,0,0,16.0,1,0,0,0,1
57,3,28.5,0,0,7.2292,0,1,1,0,0
561,3,40.0,0,0,7.8958,0,1,0,0,1
597,3,49.0,0,0,0.0,0,1,0,0,1
